"id","ngram","ngramids","corpus_sum","ngram_length","specificity","in_degree","out_degree","cluster","n_types"
"1","0x10198b","Drag (physics)","{15085454,2570533,1055540,4208718,2146902,1498541}",30241901,2,2.05422569223295e-05,486,94,6,0
"2","0x101e3e","Mass ratio","{188458}",30241901,2,4.66884686252324e-08,17,14,6,0
"3","0x102c64","Ultrasonic motor","{29132980}",30241901,2,2.27414489195674e-08,34,44,4,0
"4","0x102cf1","Point process","{40983151}",30241901,2,1.67032021374754e-07,12,56,4,0
"5","0x102f8f","Municipal solid waste","{213668,2985873,1247806}",30241901,2,6.95855667658591e-08,101,84,1,1
"6","0x10353d","Thin-layer chromatography","{2079590}",30241901,3,8.6886612015567e-08,15,86,3,1
"7","0x104218","Saturation (magnetic)","{890842}",30241901,2,3.41121733793511e-08,41,45,6,0
"8","0x104247","Transformer oil","{1076921}",30241901,2,7.229744208758e-08,27,53,4,0
"9","0x10451b","Eigenvalues and eigenvectors","{3956033,46543962,46911951}",30241901,2,1.26510033600728e-06,84,256,7,1
"10","0x1045d0","Grid view","{13768296}",30241901,2,1.6560439726044e-07,4,15,9,0
"11","0x104624","Endemic Bird Area","{13664450}",30241901,2,5.66541359048872e-08,32,20,2,0
"12","0x105361","Synthetic fuel","{2441250}",30241901,2,1.29171429863143e-07,57,135,3,1
"13","0x105633","Scattering theory","{3291305}",30241901,2,1.07642858219286e-06,41,88,6,0
"14","0x1056e","Signalling System No. 7","{4426683,2198468}",30241901,2,1.97264061442582e-07,41,83,4,0
"15","0x105c09","Method of moments (statistics)","{20557310}",30241901,2,3.65157695959269e-05,25,18,4,0
"16","0x105d37","Interval arithmetic","{2837864}",30241901,2,3.52285717808571e-06,25,106,7,0
"17","0x105def","Dicarboxylic acid","{2398949}",30241901,2,3.4476360283757e-08,53,163,3,1
"18","0x1061","Campus","{3159128}",30241901,2,4.84392861986786e-07,535,23,9,1
"19","0x106a0","Protected area","{384983}",30241901,2,3.00865131668811e-08,464,84,9,0
"20","0x106d","Condition number","{443401}",30241901,2,2.57655777652546e-08,51,39,7,1
"21","0x108587","Thermal decomposition","{2055319}",30241901,2,2.98087915068791e-07,60,43,6,0
"22","0x1086d4","Geomagnetic reversal","{4458290}",30241901,2,1.67032021374754e-07,57,95,2,0
"23","0x108903","Viscosity index","{4453762}",30241901,2,1.01549866244609e-08,9,15,1,0
"24","0x10896","High-temperature superconductivity","{3288949}",30241901,2,4.98232658043551e-06,63,129,6,0
"25","0x108ca2","Lithium battery","{705249,11467}",30241901,2,8.76233554752806e-08,92,121,3,1
"26","0x108e0a","Power density","{530242}",30241901,2,9.00033188723834e-07,59,17,6,0
"27","0x1093","Control theory","{561399,7561320,2359523,17499608,8416535}",30241901,2,6.84876472132804e-06,286,248,4,1
"28","0x10975a","Physical plant","{2299158}",30241901,2,8.72779931507722e-07,36,42,1,0
"29","0x109a30","Stagnation point","{10979907,1116953}",30241901,2,1.64899697697629e-06,16,19,6,0
"30","0x10b76a","Reduction potential","{647508}",30241901,2,1.41428572842857e-08,45,57,6,1
"31","0x10d3bd","Earthing system","{7271516}",30241901,2,9.01196022300997e-07,38,79,4,0
"32","0x10e11d","Surface roughness","{1343027,133305,5207529}",30241901,2,7.46475876887895e-08,57,33,5,1
"33","0x10e256","Shear strength","{207914}",30241901,2,1.51900200623034e-07,50,25,1,0
"34","0x10e26b","Contraflow lane","{1119792}",30241901,2,5.18992352128699e-07,14,56,7,0
"35","0x10e5","Color temperature","{49250142,13700}",30241901,2,6.2368179654951e-08,108,119,9,0
"36","0x10e7f8","Ion wind","{18185568}",30241901,2,1.56255761931221e-07,9,27,6,0
"37","0x10ea","Cryogenics","{8543,4999657,74802}",30241901,2,1.03761924242223e-06,186,89,3,1
"38","0x10f1a5","Foreign body","{130207}",30241901,2,7.75028579178857e-08,56,52,9,3
"39","0x10f1be","Carbonate minerals","{1221929}",30241901,2,3.45994901419133e-07,50,253,3,0
"40","0x10fa39","Steel frame","{1170468}",30241901,2,2.93571431507143e-07,94,45,1,1
"41","0x10feab","Utility model","{9848932}",30241901,2,9.15535206840984e-07,21,118,9,0
"42","0x11087b","On Time","{46304069}",30241901,2,6.29081638943878e-08,8,32,8,9
"43","0x110924","Deep ocean water","{2942029}",30241901,3,1.38397960567653e-06,8,17,2,0
"44","0x110efd","Bulk cargo","{668794,554227}",30241901,2,3.0045043128057e-08,85,100,5,0
"45","0x11260","Remote control","{9192407}",30241901,3,8.83928580267857e-09,271,140,4,0
"46","0x112641","Filter capacitor","{5197555}",30241901,2,3.34064042749507e-08,12,32,4,0
"47","0x1135","Crankshaft","{13777334}",30241901,2,1.55254122431662e-08,379,133,5,1
"48","0x1137","Cell cycle","{38406952}",30241901,2,1.93757144794714e-06,274,134,3,1
"49","0x11375","Aqueous solution","{74719}",30241901,2,3.60135024362286e-09,152,36,3,0
"50","0x1137c","Distilled water","{1278358}",30241901,2,8.52929470849806e-08,68,63,2,0
"51","0x113e57","NodeB","{3037819}",30241901,2,1.09560161037441e-08,0,23,4,0
"52","0x1142f8","Temperature measurement","{1418346,1060118,398983}",30241901,2,6.81044445675622e-08,15,47,6,1
"53","0x115133","Solar cell","{3606866,3109544,232760,5222638,727508,32864807,27822935,33822618}",30241901,2,9.13798924089563e-06,323,284,2,1
"54","0x11532e","C-value","{956699}",30241901,2,3.87514289589429e-08,11,62,9,0
"55","0x116062","Centrifugal pump","{514418}",30241901,2,2.86657611562228e-07,74,41,4,0
"56","0x116517","Transverse plane","{2323780,3833306,2323776,9895065}",30241901,2,1.11248121413233e-06,42,33,9,3
"57","0x1168cb","Impact (mechanics)","{4648179,2603587}",30241901,2,1.58713257531712e-07,42,51,6,0
"58","0x116da8","Proton exchange membrane","{31953568,2289491}",30241901,3,4.20297494131701e-08,19,38,2,1
"59","0x117628","Common Logic","{3932140}",30241901,2,6.91989802838265e-07,7,15,9,0
"60","0x118813","Milling cutter","{3402244}",30241901,2,7.52454931241609e-08,30,69,5,1
"61","0x118b","Electromagnetic coil","{2057068}",30241901,2,1.12868239686241e-06,52,103,4,1
"62","0x118d93","Location (geography)","{55885,3216408}",30241901,2,7.79270763215295e-07,168,26,2,0
"63","0x1196c0","Mode of transport","{1055159}",30241901,2,3.31208794520879e-07,82,100,2,1
"64","0x119e68","Low-angle shot","{722456}",30241901,2,3.34064042749507e-07,17,47,9,0
"65","0x11a03a","Voltage reference","{2488948}",30241901,2,1.83283785616622e-06,16,32,4,0
"66","0x11a2","Coal tar","{120666}",30241901,2,2.69107145548214e-08,140,78,3,1
"67","0x11b60a","Lead dioxide","{3109530}",30241901,2,3.34064042749507e-07,33,57,3,5
"68","0x11be63","Suction pressure","{34206873,15213464}",30241901,2,3.06335406790062e-07,1,5,1,0
"69","0x11becb","Ferrite (magnet)","{7508165}",30241901,2,1.85512159909833e-06,76,77,1,0
"70","0x11d9ee","Aerial image","{697470}",30241901,2,9.2265307045102e-08,3,6,4,0
"71","0x11e3","Centripetal force","{7356033}",30241901,2,4.84392861986786e-06,93,80,6,1
"72","0x11e786","Colonisation (biology)","{3150530}",30241901,2,1.15331633806378e-07,28,41,9,0
"73","0x11e7df","Tap changer","{36312467}",30241901,2,5.38214291096429e-07,21,12,4,0
"74","0x11f7df","Vanadium redox battery","{43570506,1598024}",30241901,3,0.000125833291788028,21,43,3,0
"75","0x11f875","Patch antenna","{20125071,3236871}",30241901,2,5.76658169031888e-08,8,11,4,0
"76","0x120016","Antenna diversity","{44755460}",30241901,2,1.56255761931221e-07,16,43,4,0
"77","0x1205ff","Shikimic acid","{5103658}",30241901,2,8.05224497848163e-06,24,88,3,5
"78","0x1213b5","Monoceros Ring","{2014011}",30241901,2,1.08648866240027e-06,5,20,2,0
"79","0x1218a9","Pressure swing adsorption","{780586}",30241901,3,1.12977926994003e-07,20,50,3,0
"80","0x1222cc","Thermal energy storage","{4783743,35348707,680139}",30241901,2,4.37516133407419e-06,36,69,1,1
"81","0x122520","Design specification","{3251816}",30241901,2,3.69061228180408e-07,11,5,5,0
"82","0x122687","Fluidized bed","{1510643}",30241901,2,3.47359528136813e-09,26,34,4,1
