"ngram1","ngram2","pubyear","count"
"1","Wind speed","Wind direction",2011,51
"2","Wind power","Electrical energy",2011,49
"3","Wind power","AC power",2015,47
"4","Superheated steam","Electric arc furnace",2011,43
"5","Wind power","Electrical energy",2014,39
"6","Solar cell","Electrical energy",2015,33
"7","Energy storage","AC power",2012,33
"8","Active Power","AC power",2012,33
"9","Active Power","AC power",2014,33
"10","Active Power","AC power",2015,32
"11","Wind power","Active Power",2015,32
"12","Wind power","Electrical energy",2009,32
"13","Kinetic energy","Electrical energy",2015,30
"14","Chemical reactor","Carbon dioxide",2014,30
"15","Voltage source","Electrical energy",2011,29
"16","Wind power","Electrical energy",2010,28
"17","Rotational energy","Electrical energy",2011,28
"18","Wind speed","Wind power",2011,27
"19","Mechanical energy","Electrical energy",2011,27
"20","Wind power","AC power",2014,26
"21","Wind power","Thermal power station",2014,25
"22","Energy storage","Active Power",2012,25
"23","Steam accumulator","Electric arc furnace",2011,25
"24","Mechanical energy","Electrical energy",2009,24
"25","Horizontal plane","Flight control surfaces",2012,24
"26","Mechanical energy","Electrical energy",2008,23
"27","Sunlight","Solar irradiance",2011,23
"28","Power outage","Electric power system",2014,22
"29","Thermal energy","Heat exchanger",2014,22
"30","Wind speed","Electricity generation",2011,21
"31","Wind speed","Rotational speed",2011,21
"32","Wind speed","Electric generator",2010,21
"33","Wind speed","Speedster (fiction)",2011,21
"34","Wind speed","Parameter (computer programming)",2011,21
"35","Superheated steam","Steam accumulator",2011,21
"36","Wind speed","Electrical energy",2011,21
"37","Wind power","Electrical energy",2013,20
"38","Wind power","Temperature control",2008,20
"39","Supply network","Electric power conversion",2011,20
"40","Wind power","Flight control surfaces",2008,20
"41","Lubricant","Centrifugal force",2011,19
"42","Motor vehicle","Electric machine",2013,19
"43","Wind speed","Control System",2015,19
"44","Waste heat","Electric arc furnace",2011,19
"45","Renewable energy","Electrical energy",2014,19
"46","Voltage source","Synchronous motor",2011,19
"47","Wind speed","Wind farm",2015,18
"48","Wind power","Wind direction",2014,18
"49","Heat exchanger","Cryogenics",2011,18
"50","Frequency changer","Differential (mechanical device)",2013,18
"51","Wind power","Energy storage",2013,18
"52","Wind power","Lateral plate mesoderm",2011,18
"53","Kinetic energy","Electrical energy",2014,18
"54","Fluid dynamics","Flow Energy",2011,18
"55","Wind speed","Wind farm",2014,17
"56","Supercritical fluid","High pressure",2011,17
"57","Wind speed","Wind direction",2014,17
"58","Waste heat","Superheated steam",2011,17
"59","Lubricant","Epicyclic gearing",2011,16
"60","Wind power","Rolling-element bearing",2009,16
"61","Wind farm","Control System",2015,16
"62","Active Power","AC power",2013,16
"63","Energy development","Electrical energy",2010,16
"64","Wind farm","Control unit",2012,16
"65","Kinetic energy","Electrical energy",2011,16
"66","Wind power","Active Power",2014,16
"67","Wind power","Electrical energy",2008,16
"68","Synchronous motor","Electrical energy",2011,16
"69","Energy storage","Electrical energy",2011,16
"70","Control arm","Arm",2011,16
"71","Principal series representation","Autostereogram",2014,16
"72","Glass fiber","Composite material",2011,15
"73","Rechargeable battery","Electricity generation",2011,15
"74","Wind power","Wind farm",2009,15
"75","Wind power","Wind farm",2013,15
"76","Vanadium redox battery","Control System",2007,15
"77","Carbon monoxide","Carbon dioxide",2011,15
"78","Mechanical energy","Electrical energy",2014,15
"79","Wind farm","AC power",2014,15
