"ngram","pubyear","count","rel_freq"
"1","Wind power",2011,575,0.000313104598172449
"2","Wind power",2013,503,0.000159929033478584
"3","Wind power",2014,435,0.000117784896618707
"4","Wind power",2010,344,0.000184848644425363
"5","Wind speed",2011,340,0.000185140110223709
"6","Wind power",2012,306,0.0001819071358127
"7","Wind power",2009,304,9.28034864804553e-05
"8","Electrical energy",2011,282,0.000153557385538488
"9","Wind power",2015,259,7.74347164050679e-05
"10","Wind power",2008,236,6.67633037198476e-05
"11","Electrical energy",2013,224,7.12208817081565e-05
"12","Wind farm",2014,207,5.60493645978675e-05
"13","Wind farm",2011,200,0.000108905947190417
"14","Electrical energy",2014,200,5.41539754568768e-05
"15","Wind farm",2013,189,6.00926189412571e-05
"16","Electricity generation",2011,185,0.000100738001151136
"17","Electrical energy",2009,172,5.25072357718365e-05
"18","Turbine blade",2013,168,5.34156612811174e-05
"19","Turbine blade",2014,163,4.41354899973546e-05
"20","Wind direction",2011,158,8.60356982804295e-05
"21","Wind farm",2009,152,4.64017432402276e-05
"22","Electrical energy",2010,148,7.9527905159749e-05
"23","Electric machine",2015,148,4.42484093743245e-05
"24","Turbine blade",2015,142,4.24545549402303e-05
"25","Wind farm",2015,138,4.12586519841674e-05
"26","Turbine blade",2011,136,7.40560440894837e-05
"27","Rotational speed",2011,133,7.24224548816274e-05
"28","Electrical energy",2015,130,3.88668460720418e-05
"29","Wind farm",2012,129,7.6686341568099e-05
"30","Electrical energy",2008,124,3.50790239883945e-05
"31","Wind power",2007,119,4.07010986560429e-05
"32","Electric machine",2013,118,3.75181430426896e-05
"33","Wind power",2006,111,4.52407541755993e-05
"34","Flight control surfaces",2011,110,5.98982709547294e-05
"35","Turbine blade",2009,100,3.05274626580445e-05
"36","Renewable energy",2011,100,5.44529735952086e-05
"37","Electric machine",2014,98,2.65354479738696e-05
"38","Control System",2011,95,5.17303249154481e-05
"39","Electric machine",2009,95,2.90010895251423e-05
"40","Wind speed",2013,94,2.98873342882443e-05
"41","Wind speed",2014,91,2.46400588328789e-05
"42","Turbine blade",2012,91,5.40965665325349e-05
"43","Electrical energy",2012,90,5.35020987684411e-05
"44","Electricity generation",2013,90,2.861553282917e-05
"45","Epicyclic gearing",2011,88,4.79186167637835e-05
"46","Wind speed",2015,87,2.60108892943664e-05
"47","Fluid dynamics",2011,86,4.68295572918794e-05
"48","Wind farm",2010,85,4.56748103958018e-05
"49","Turbine blade",2010,85,4.56748103958018e-05
"50","Control System",2015,82,2.45160105992879e-05
"51","Rechargeable battery",2011,80,4.35623788761669e-05
"52","Wind speed",2009,79,2.41166954998551e-05
"53","Solar cell",2011,78,4.24733194042627e-05
"54","Electric machine",2011,76,4.13842599323585e-05
"55","Electric power conversion",2011,74,4.02952004604543e-05
"56","Electricity generation",2014,73,1.976620104176e-05
"57","Beaufort scale",2011,73,3.97506707245023e-05
"58","Wind speed",2008,71,2.00855701869033e-05
"59","Wind speed",2010,70,3.76145497377191e-05
"60","Kinetic energy",2011,69,3.75725517806939e-05
"61","Flight control surfaces",2012,68,4.04238079583777e-05
"62","Electricity generation",2015,66,1.97323987750366e-05
"63","Block diagram",2011,66,3.59389625728377e-05
"64","Wind farm",2008,63,1.78224073489424e-05
"65","Control System",2014,62,1.67877323916318e-05
"66","Control System",2009,61,1.86217522214071e-05
"67","Electricity generation",2009,60,1.83164775948267e-05
"68","Electricity generation",2008,59,1.66908259299619e-05
"69","Control System",2010,59,3.17036919217918e-05
"70","Control logic",2011,57,3.10381949492689e-05
"71","Flight control surfaces",2015,57,1.70416171238952e-05
"72","Electric machine",2012,56,3.32901947892523e-05
"73","Wind direction",2014,56,1.51631131279255e-05
"74","Control System",2013,56,1.78052204270391e-05
"75","Control System",2012,56,3.32901947892523e-05
"76","Energy storage",2011,56,3.04936652133168e-05
"77","Mechanical energy",2011,56,3.04936652133168e-05
"78","Wind speed",2012,55,3.26957270251585e-05
"79","Turbine blade",2008,55,1.55592445109814e-05
"80","Lifting equipment",2015,55,1.64436656458638e-05
"81","Angle of attack",2011,54,2.94046057414126e-05
"82","Flight control surfaces",2013,54,1.7169319697502e-05
"83","Electric generator",2011,53,2.88600760054605e-05
"84","Electricity generation",2010,52,2.79422369480199e-05
"85","Composite material",2013,52,1.65334189679649e-05
"86","Leading edge",2011,50,2.72264867976043e-05
"87","Composite material",2011,49,2.66819570616522e-05
"88","Wind direction",2008,49,1.38618723825107e-05
"89","Electric power transmission",2008,48,1.35789770277656e-05
"90","Signaling (telecommunications)",2011,48,2.61374273257001e-05
"91","Heat exchanger",2011,48,2.61374273257001e-05
"92","Mechanical energy",2014,47,1.2726184232366e-05
"93","Electric power conversion",2013,47,1.49436671441221e-05
"94","Wind direction",2010,47,2.52554833953257e-05
"95","Rolling-element bearing",2011,47,2.5592897589748e-05
"96","Rotational speed",2012,46,2.73455171483144e-05
"97","Renewable energy",2014,46,1.24554143550817e-05
"98","Structural element",2011,46,2.50483678537959e-05
"99","Kinetic energy",2014,45,1.21846444777973e-05
"100","Fuel cell",2011,45,2.45038381178439e-05
"101","Flight control surfaces",2014,45,1.21846444777973e-05
